,,,
,,Nbr,Wait
,,Seats,List
Class Name,Period,Open,Count
Advanced Metalworking (no badge),Block 6,0,1
American Heritage (2014 version) / Scouting Heritage (2014 version),Block 2,9,
Archaeology (2021 version),Block 6,0,4
Archery (2023 version)- Qualify 4,Block 2,2,
Archery (2023 version)- Qualify 5,Block 2,5,
Archery (2023 version)- Qualify 5,Block 3,2,
Archery (2023 version)- Qualify 6,Block 2,3,
Astronomy (2022 version),Block 1,0,2
Astronomy (2022 version),Block 2,2,
Astronomy (2022 version),Block 4,0,4
Backpacking (2024 version) & Hiking (2023 version),Block 3,10,
Backpacking (2024 version) & Hiking (2023 version),Block 4,6,
Camping (2024 version),Block 2,0,6
Canoeing (2024 version),Block 2,0,1
Citizenship in the Nation (2022 version),Block 2,0,7
Citizenship in the Nation (2022 version),Block 4,0,5
Citizenship in the Nation (2022 version),Block 5,0,2
Citizenship in the World (2016 version),Block 4,0,5
Citizenship in the World (2016 version),Block 5,0,3
Citizenship in the World (2016 version),Block 6,0,10
Climbing (2017 version)- Qualify 4,Block 3,0,5
Climbing (2017 version)- Qualify 5,Block 1,1,
Climbing (2017 version)- Qualify 6,Block 1,1,
Climbing (2017 version)- Qualify 6,Block 2,0,
Climbing (2017 version)- Qualify 6,Block 3,0,2
Communication (2014 version),Block 1,0,4
Communication (2014 version),Block 3,0,5
Communication (2014 version),Block 6,0,10
Electricity (2021 version),Block 3,0,2
Electricity (2021 version),Block 6,0,3
Energy (2015 version),Block 2,9,
Entrepreneurship (2014 version) / Salesmanship (2023 version),Block 4,0,2
Environmental Science (2023 version),Block 1,0,4
Environmental Science (2023 version),Block 3,0,7
Environmental Science (2023 version),Block 5,0,4
Exploration (2017 version),Block 2,3,
Exploration (2017 version),Block 5,0,2
First Aid (2024 version),Block 1,1,
First Aid (2024 version),Block 2,1,
First Aid (2024 version),Block 3,7,
First Aid (2024 version),Block 5,9,
Forestry (2017 version),Block 1,10,
Forestry (2017 version),Block 3,9,
Game Design and Chess- Morning,Block 2,4,
Geocaching (2019 version),Block 2,3,
Geocaching (2019 version),Block 3,5,
Indian Lore (2024 version),Block 1,12,
Indian Lore (2024 version),Block 3,11,
Lifesaving (2021 version)- Afternoon,Block 4,0,5
Mammal Study (2015 version) & Fish and Wildlife (2021 Version),Block 2,3,
Orienteering (2013 version),Block 1,2,
Photography (2024 version),Block 4,0,6
Plumbing (2005 version),Block 3,1,
Pottery (2009 version),Block 1,0,1
Pottery (2009 version),Block 2,0,6
Pottery (2009 version),Block 5,0,6
Search and Rescue (2014 version),Block 1,,
Search and Rescue (2014 version),Block 1,7,
Shotgun Shooting (2014 version)- Afternoon,Block 4,3,
Shotgun Shooting (2014 version)- Morning,Block 1,6,
"Signs, Signals, and Codes (2015 version)",Block 1,5,
Small-Boat Sailing (2023 version),Block 4,5,
Small-Boat Sailing (2023 version),Block 5,4,
Soil and Water Conservation (2019 version) & Geology (2023 version),Block 2,9,
Space Exploration (2020 version),Block 4,0,4
Swimming (2024 version),Block 3,2,
Trail to First Class,Block 2,5,
Trail to First Class,Block 3,3,
Trail to Second Class,Block 1,18,
Trail to Second Class,Block 2,14,
Trail to Second Class,Block 6,6,
Trail to Tenderfoot,Block 1,15,
Trail to Tenderfoot,Block 3,3,
Trail to Tenderfoot,Block 5,10,
Weather (2018 version),Block 1,7,
Weather (2018 version),Block 3,8,
Wilderness Survival (2013 version),Block 1,4,
